domain,seed,friction_level,interface_id,n_forecasters,forecast_best_set,deployed_best_set,forecast_best_set_size,deployed_best_set_size,forecast_selected_representative,deployed_selected_representative,agreement_flag,selection_disagreement_flag,deployed_gap_of_forecast_selected
inventory,0,0.0,responsive,5,linear_ar_ridge,linear_ar_ridge,1,1,linear_ar_ridge,linear_ar_ridge,True,False,0.0
inventory,1,0.0,responsive,5,mlp_small,gru_small,1,1,mlp_small,gru_small,False,True,0.12662253131544565
inventory,2,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,3,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,4,0.0,responsive,5,linear_ar_ridge,mlp_small,1,1,linear_ar_ridge,mlp_small,False,True,0.04917618389761591
inventory,5,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,6,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,7,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,8,0.0,responsive,5,linear_ar_ridge,mlp_small,1,1,linear_ar_ridge,mlp_small,False,True,0.044521762883420024
inventory,9,0.0,responsive,5,linear_ar_ridge,linear_ar_ridge,1,1,linear_ar_ridge,linear_ar_ridge,True,False,0.0
inventory,10,0.0,responsive,5,linear_ar_ridge,linear_ar_ridge,1,1,linear_ar_ridge,linear_ar_ridge,True,False,0.0
inventory,11,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,12,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,13,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,14,0.0,responsive,5,linear_ar_ridge,linear_ar_ridge,1,1,linear_ar_ridge,linear_ar_ridge,True,False,0.0
inventory,15,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,16,0.0,responsive,5,linear_ar_ridge,mlp_small,1,1,linear_ar_ridge,mlp_small,False,True,0.1209960136593522
inventory,17,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,18,0.0,responsive,5,mlp_small,gru_small,1,1,mlp_small,gru_small,False,True,0.10443551483960611
inventory,19,0.0,responsive,5,gru_small,gru_small,1,1,gru_small,gru_small,True,False,0.0
inventory,20,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,21,0.0,responsive,5,linear_ar_ridge,linear_ar_ridge,1,1,linear_ar_ridge,linear_ar_ridge,True,False,0.0
inventory,22,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,23,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,24,0.0,responsive,5,linear_ar_ridge,linear_ar_ridge,1,1,linear_ar_ridge,linear_ar_ridge,True,False,0.0
inventory,25,0.0,responsive,5,linear_ar_ridge,linear_ar_ridge,1,1,linear_ar_ridge,linear_ar_ridge,True,False,0.0
inventory,26,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,27,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,28,0.0,responsive,5,mlp_small,linear_ar_ridge,1,1,mlp_small,linear_ar_ridge,False,True,0.23968264244910653
inventory,29,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,30,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,31,0.0,responsive,5,mlp_small,linear_ar_ridge,1,1,mlp_small,linear_ar_ridge,False,True,0.028425491868782515
inventory,32,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,33,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,34,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,35,0.0,responsive,5,linear_ar_ridge,mlp_small,1,1,linear_ar_ridge,mlp_small,False,True,0.16206372346979991
inventory,36,0.0,responsive,5,mlp_small,naive_last,1,1,mlp_small,naive_last,False,True,0.042098845574594534
inventory,37,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,38,0.0,responsive,5,linear_ar_ridge,mlp_small,1,1,linear_ar_ridge,mlp_small,False,True,0.038334184858285436
inventory,39,0.0,responsive,5,linear_ar_ridge,linear_ar_ridge,1,1,linear_ar_ridge,linear_ar_ridge,True,False,0.0
inventory,40,0.0,responsive,5,mlp_small,gru_small,1,1,mlp_small,gru_small,False,True,0.08236139582005508
inventory,41,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,42,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,43,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,44,0.0,responsive,5,linear_ar_ridge,linear_ar_ridge,1,1,linear_ar_ridge,linear_ar_ridge,True,False,0.0
inventory,45,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,46,0.0,responsive,5,linear_ar_ridge,linear_ar_ridge,1,1,linear_ar_ridge,linear_ar_ridge,True,False,0.0
inventory,47,0.0,responsive,5,mlp_small,linear_ar_ridge,1,1,mlp_small,linear_ar_ridge,False,True,0.04259443143523711
inventory,48,0.0,responsive,5,linear_ar_ridge,mlp_small,1,1,linear_ar_ridge,mlp_small,False,True,0.0663726311209043
inventory,49,0.0,responsive,5,linear_ar_ridge,mlp_small,1,1,linear_ar_ridge,mlp_small,False,True,0.1639165744118829
inventory,50,0.0,responsive,5,linear_ar_ridge,linear_ar_ridge,1,1,linear_ar_ridge,linear_ar_ridge,True,False,0.0
inventory,51,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,52,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,53,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,54,0.0,responsive,5,mlp_small,linear_ar_ridge,1,1,mlp_small,linear_ar_ridge,False,True,0.20837800005360263
inventory,55,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,56,0.0,responsive,5,linear_ar_ridge,mlp_small,1,1,linear_ar_ridge,mlp_small,False,True,0.09410219518420249
inventory,57,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,58,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,59,0.0,responsive,5,linear_ar_ridge,linear_ar_ridge,1,1,linear_ar_ridge,linear_ar_ridge,True,False,0.0
inventory,60,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,61,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,62,0.0,responsive,5,linear_ar_ridge,linear_ar_ridge,1,1,linear_ar_ridge,linear_ar_ridge,True,False,0.0
inventory,63,0.0,responsive,5,mlp_small,linear_ar_ridge,1,1,mlp_small,linear_ar_ridge,False,True,0.09705717713945816
inventory,64,0.0,responsive,5,linear_ar_ridge,linear_ar_ridge,1,1,linear_ar_ridge,linear_ar_ridge,True,False,0.0
inventory,65,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,66,0.0,responsive,5,mlp_small,naive_last,1,1,mlp_small,naive_last,False,True,0.4575132764436374
inventory,67,0.0,responsive,5,linear_ar_ridge,linear_ar_ridge,1,1,linear_ar_ridge,linear_ar_ridge,True,False,0.0
inventory,68,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,69,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,70,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
inventory,71,0.0,responsive,5,linear_ar_ridge,linear_ar_ridge,1,1,linear_ar_ridge,linear_ar_ridge,True,False,0.0
inventory,72,0.0,responsive,5,mlp_small,mlp_small,1,1,mlp_small,mlp_small,True,False,0.0
