step_id,domain,question_id,scenario_id,evidence_role,source_path,n_seeds,friction,q1_same_forecast_interface_effect_yesno,q2_rank_flip_yesno,zero_friction_near_flat_yesno,positive_friction_gap_yesno,inclusion_status,notes
step2,synthetic,Q1,step2_synthetic_q1_same_forecast_diff_interface,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/synthetic_step2_candidate_lock/q1_gap_by_friction.csv,20,0.0,no,na,yes,no,pass,zero-friction exact match; clean increasing gap
step2,synthetic,Q1,step2_synthetic_q1_same_forecast_diff_interface,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/synthetic_step2_candidate_lock/q1_gap_by_friction.csv,20,0.25,yes,na,yes,yes,pass,clean increasing gap
step2,synthetic,Q1,step2_synthetic_q1_same_forecast_diff_interface,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/synthetic_step2_candidate_lock/q1_gap_by_friction.csv,20,0.5,yes,na,yes,yes,pass,clean increasing gap
step2,synthetic,Q1,step2_synthetic_q1_same_forecast_diff_interface,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/synthetic_step2_candidate_lock/q1_gap_by_friction.csv,20,1.0,yes,na,yes,yes,pass,clean increasing gap
step2,synthetic,Q2,step2_synthetic_q2_diff_forecasts_same_interface,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/synthetic_step2_candidate_lock/q2_diff_forecasts_same_interface.csv,20,0.0,na,no,yes,no,pass,zero-friction exact ranking alignment
step2,synthetic,Q2,step2_synthetic_q2_diff_forecasts_same_interface,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/synthetic_step2_candidate_lock/q2_diff_forecasts_same_interface.csv,20,0.25,na,yes,yes,yes,pass,positive-friction plateau
step2,synthetic,Q2,step2_synthetic_q2_diff_forecasts_same_interface,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/synthetic_step2_candidate_lock/q2_diff_forecasts_same_interface.csv,20,0.5,na,yes,yes,yes,pass,positive-friction plateau
step2,synthetic,Q2,step2_synthetic_q2_diff_forecasts_same_interface,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/synthetic_step2_candidate_lock/q2_diff_forecasts_same_interface.csv,20,1.0,na,yes,yes,yes,pass,positive-friction plateau
step3,portfolio,Q1,step3_portfolio_q1_exact_control,support,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/portfolio_exact_control_step3_candidate_lock/portfolio_control_results.csv,9,0.0,no,na,yes,no,support_only,support_only; near-flat 7/9 seed groups within 0.005 threshold
step3,portfolio,Q1,step3_portfolio_q1_exact_control,support,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/portfolio_exact_control_step3_candidate_lock/portfolio_control_results.csv,9,0.0005,yes,na,yes,yes,support_only,support_only; positive-cost recurrence 3/3 universes
step3,portfolio,Q1,step3_portfolio_q1_exact_control,support,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/portfolio_exact_control_step3_candidate_lock/portfolio_control_results.csv,9,0.001,yes,na,yes,yes,support_only,support_only; positive-cost recurrence 3/3 universes
step4,inventory,Q1,step4_inventory_q1_same_forecast_diff_interface,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/inventory_step4_seed_stability_locked/inventory_v2_seed_stability_q1_friction_threshold_summary.csv,10,0.0,no,na,yes,no,pass,threshold story; zero-friction exact match
step4,inventory,Q1,step4_inventory_q1_same_forecast_diff_interface,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/inventory_step4_seed_stability_locked/inventory_v2_seed_stability_q1_friction_threshold_summary.csv,10,0.25,yes,na,yes,yes,pass,threshold story; low friction mixed
step4,inventory,Q1,step4_inventory_q1_same_forecast_diff_interface,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/inventory_step4_seed_stability_locked/inventory_v2_seed_stability_q1_friction_threshold_summary.csv,10,0.5,yes,na,yes,yes,pass,threshold story; low friction mixed
step4,inventory,Q1,step4_inventory_q1_same_forecast_diff_interface,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/inventory_step4_seed_stability_locked/inventory_v2_seed_stability_q1_friction_threshold_summary.csv,10,1.0,yes,na,yes,yes,pass,threshold story; high friction strong
step4,inventory,Q2,step4_inventory_q2_diff_forecasts_same_interface,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/inventory_step4_seed_stability_locked/inventory_v2_seed_stability_q2.csv,10,0.0,na,yes,yes,no,pass,zero-friction near-aligned
step4,inventory,Q2,step4_inventory_q2_diff_forecasts_same_interface,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/inventory_step4_seed_stability_locked/inventory_v2_seed_stability_q2.csv,10,0.25,na,yes,yes,yes,pass,emergence and persistence
step4,inventory,Q2,step4_inventory_q2_diff_forecasts_same_interface,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/inventory_step4_seed_stability_locked/inventory_v2_seed_stability_q2.csv,10,0.5,na,yes,yes,yes,pass,emergence and persistence
step4,inventory,Q2,step4_inventory_q2_diff_forecasts_same_interface,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/inventory_step4_seed_stability_locked/inventory_v2_seed_stability_q2.csv,10,1.0,na,yes,yes,yes,pass,emergence and persistence
step5,synthetic,Q2,step5_q2_same_interface_package,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/step5_same_interface/synthetic/rank_correlation_by_friction.csv,20,0.0,na,no,yes,no,pass,repackaged from step2 Q2; zero-friction exact alignment
step5,synthetic,Q2,step5_q2_same_interface_package,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/step5_same_interface/synthetic/rank_correlation_by_friction.csv,20,0.25,na,yes,yes,yes,pass,repackaged from step2 Q2; positive-friction plateau
step5,synthetic,Q2,step5_q2_same_interface_package,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/step5_same_interface/synthetic/rank_correlation_by_friction.csv,20,0.5,na,yes,yes,yes,pass,repackaged from step2 Q2; positive-friction plateau
step5,synthetic,Q2,step5_q2_same_interface_package,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/step5_same_interface/synthetic/rank_correlation_by_friction.csv,20,1.0,na,yes,yes,yes,pass,repackaged from step2 Q2; positive-friction plateau
step5,inventory,Q2,step5_q2_same_interface_package,required,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/step5_same_interface/inventory/rank_correlation_by_friction.csv,10,0.0,na,yes,yes,no,pass,repackaged from step4 Q2; zero-friction near-aligned
